key	fr	en	nl
none	Ne pas afficher	Do not display	Geef niet weer
1	Régions	Regions	Regio's
2	Provinces	Provinces	Provincies
3	Districts	Districts	Districten
4	Communes	Municipalities	Gemeenten


