Id;Villes;Label;Lat;Lon;Pays
100;Troyes;Troyes;48,295;4,0644444444;FRA
101;Tulle;Tulle;45,5441666667;1,8008333333;FRA
102;Valence;Valence;44,9375;4,8994444444;FRA
103;Vervins;Vervins;49,8280555556;3,9122222222;FRA
104;Vichy;Vichy;46,1380555556;3,405;FRA
105;Vierzon;Vierzon;47,2130555556;2,0638888889;FRA
106;Villemandeur;Villemandeur;47,9908333333;2,68;FRA
107;Villeneuve Sur Lot;Villeneuve Sur Lot;44,4011111111;0,7627777778;FRA
108;Villers la Tour;Villers la Tour;50,0345833333;4,2642777778;BEL
109;Virton;Virton (AWC);49,5643888889;5,5326111111;BEL
110;Virton;Virton II;49,5529194444;5,5726277778;BEL
111;Vouziers;Vouziers;49,4013888889;4,6930555556;FRA
112;Arras;Arras;50,2975;2,7913888889;FRA
113;Boves;Boves;49,8463888889;2,4188888889;FRA
114;Clermont;Clermont;49,3683333333;2,4325;FRA
115;Epehy;Epehy;50,0147222222;3,1305555556;FRA
116;Chantilly;Chantilly;49,1908333333;2,4827777778;FRA
117;Pontoise;Pontoise;49,1091666667;2,0255555556;FRA
118;Fontenay-Sur-Heure;Fontenay-Sur-Heure;48,4136111111;1,4327777778;FRA
119;L'aigle;L'aigle;48,7436111111;0,6425;FRA
120;Peronne;Peronne;49,9258333333;2,9380555556;FRA
121;St-Quentin;St-Quentin;49,8397222222;3,2902777778;FRA
122;Noyon;Noyon;49,5608333333;3,0427777778;FRA
123;Pont Sainte Maxence;Pont Sainte Maxence;49,3038888889;2,5783333333;FRA
127;Chartres;Chartres (Belgian Master);48,4672222222;1,5508333333;FRA
128;Chateaudun;Chateaudun;48,0802777778;1,3538888889;FRA
129;Blois;Blois;47,5783333333;1,345;FRA
130;Fontenay-le-Comte;Fontenay-le-Comte;46,4463888889;0,7991666667;FRA
131;Castres;Castres;43,6088888889;2,2647222222;FRA
132;Lisieux;Lisieux;49,1480555556;0,2702777778;FRA
133;Brionne;Brionne;49,1952777778;0,7269444444;FRA
134;St-Junien;St-Junien;45,8938888889;0,9269444444;FRA
