key	fr	en	nl
anvers1553	1553 amateurs centrés sur Anvers	1553 fanciers centered on Anvers	1553 liefhebbers concentreerden zich op Anvers
liege1580	1580 amateurs centrés sur Liège	1580 fanciers centered on Liège	1580 liefhebbers concentreerden zich op Luik
liege535	535 amateurs centrés sur Liège	535 fanciers centered on Liège	535 liefhebbers concentreerden zich op Luik
