key	fr	en	nl
dyn	En fonction des données	Based on data	Op basis van de data
man	Sélection manuelle	Manual selection	Handmatige selectie
rf	Flandre	Flandria	Vlaanderen
rw	Wallonie	Wallonia	Wallonië
bel	Belgique	Belgium	België
fra	France	France	Frankrijk
befr	Belgique et France	Belgium and France	België en Frankrijk
befres	Belgique, France et Nord de l'Espagne	Belgium, France and Northern Spain	België, Frankrijk en Noord-Spanje
